Field,StrategyOrDate,PRICE_LOWER_LIMIT,TOP_N_COUNT,Value
AggReturn,2019-01-28 00:00:00,800,4,8.493994614949818e-05
AggReturn,2019-01-28 00:00:00,800,8,-0.0029286378460866
AggReturn,2019-01-29 00:00:00,1200,12,-0.0014138295263354
AggReturn,2019-01-29 00:00:00,1200,16,0.0079732624695669
AggReturn,2019-01-29 00:00:00,1200,4,0.0043463716663177
AggReturn,2019-01-29 00:00:00,1200,8,-0.0051776995087039
AggReturn,2019-01-29 00:00:00,300,12,0.0038017890300089
AggReturn,2019-01-29 00:00:00,300,16,0.0067376856383906
AggReturn,2019-01-29 00:00:00,300,4,-0.0006004519466401
AggReturn,2019-01-29 00:00:00,300,8,0.0084824828227024
AggReturn,2019-01-29 00:00:00,500,12,0.0008693159150618
AggReturn,2019-01-29 00:00:00,500,16,0.0036639585495999
AggReturn,2019-01-29 00:00:00,500,4,0.00396181605624
AggReturn,2019-01-29 00:00:00,500,8,-0.0007988912495689
AggReturn,2019-01-29 00:00:00,800,12,0.0040153334356272
AggReturn,2019-01-29 00:00:00,800,16,0.001463896219106
AggReturn,2019-01-29 00:00:00,800,4,-0.0055776805201742
AggReturn,2019-01-29 00:00:00,800,8,0.0004927269052915
AggReturn,2019-01-30 00:00:00,1200,12,0.0087093411826795
AggReturn,2019-01-30 00:00:00,1200,16,0.0063730048509672
AggReturn,2019-01-30 00:00:00,1200,4,-0.023888790319497
AggReturn,2019-01-30 00:00:00,1200,8,0.0042269682529919
AggReturn,2019-01-30 00:00:00,300,12,-0.0056481219987024
AggReturn,2019-01-30 00:00:00,300,16,-0.0033031170050455
AggReturn,2019-01-30 00:00:00,300,4,-0.0028828376246729
AggReturn,2019-01-30 00:00:00,300,8,0.002608394421247
AggReturn,2019-01-30 00:00:00,500,12,-0.0033775394836514
AggReturn,2019-01-30 00:00:00,500,16,-0.0014193530042354
AggReturn,2019-01-30 00:00:00,500,4,0.0049870794402209
AggReturn,2019-01-30 00:00:00,500,8,-0.0085870376991902
AggReturn,2019-01-30 00:00:00,800,12,0.0022837036185583
AggReturn,2019-01-30 00:00:00,800,16,0.0060581398971728
AggReturn,2019-01-30 00:00:00,800,4,-0.0235158734537252
AggReturn,2019-01-30 00:00:00,800,8,-0.0098495047799625
AggReturn,2019-01-31 00:00:00,1200,12,0.0012079268301236
AggReturn,2019-01-31 00:00:00,1200,16,-0.0018609874769333
AggReturn,2019-01-31 00:00:00,1200,4,0.0220904787536021
AggReturn,2019-01-31 00:00:00,1200,8,0.0128086228533079
AggReturn,2019-01-31 00:00:00,300,12,0.0037604934089556
AggReturn,2019-01-31 00:00:00,300,16,0.004573809775375
AggReturn,2019-01-31 00:00:00,300,4,-0.011615494606668
