Field,StrategyOrDate,PRICE_LOWER_LIMIT,TOP_N_COUNT,Value
AggReturn,2019-01-24 00:00:00,800,16,0.0013353707997701
AggReturn,2019-01-24 00:00:00,800,2,-0.0154116714814514
AggReturn,2019-01-24 00:00:00,800,4,-0.0069252064636067
AggReturn,2019-01-24 00:00:00,800,8,0.0045743605159761
AggReturn,2019-01-25 00:00:00,1200,12,-0.0039563591091754
AggReturn,2019-01-25 00:00:00,1200,16,-0.0024570923325477
AggReturn,2019-01-25 00:00:00,1200,2,0.0049933528112299
AggReturn,2019-01-25 00:00:00,1200,4,0.0138286540577559
AggReturn,2019-01-25 00:00:00,1200,8,0.0097271115955718
AggReturn,2019-01-25 00:00:00,500,12,0.0062920596531172
AggReturn,2019-01-25 00:00:00,500,16,0.0062078142165708
AggReturn,2019-01-25 00:00:00,500,2,0.0082502608149774
AggReturn,2019-01-25 00:00:00,500,4,-0.0027949309554023
AggReturn,2019-01-25 00:00:00,500,8,0.0077736497874598
AggReturn,2019-01-25 00:00:00,800,12,0.0076447562495656
AggReturn,2019-01-25 00:00:00,800,16,0.0059256654215639
AggReturn,2019-01-25 00:00:00,800,2,0.0012418257412018
AggReturn,2019-01-25 00:00:00,800,4,0.0001687957723873
AggReturn,2019-01-25 00:00:00,800,8,0.006985101976158
AggReturn,2019-01-28 00:00:00,1200,12,0.00028419803127
AggReturn,2019-01-28 00:00:00,1200,16,0.0001378906675872
AggReturn,2019-01-28 00:00:00,1200,2,0.0077724162480124
AggReturn,2019-01-28 00:00:00,1200,4,-0.0106501804736854
AggReturn,2019-01-28 00:00:00,1200,8,-0.0106305835877369
AggReturn,2019-01-28 00:00:00,500,12,-0.0096215341050238
AggReturn,2019-01-28 00:00:00,500,16,-0.0057986344817141
AggReturn,2019-01-28 00:00:00,500,2,0.0079642467927218
AggReturn,2019-01-28 00:00:00,500,4,0.0070106796736427
AggReturn,2019-01-28 00:00:00,500,8,-0.0051177485669856
AggReturn,2019-01-28 00:00:00,800,12,-0.0093321205542016
AggReturn,2019-01-28 00:00:00,800,16,-0.006687492455028
AggReturn,2019-01-28 00:00:00,800,2,0.0096454782618039
AggReturn,2019-01-28 00:00:00,800,4,0.0044451659465464
AggReturn,2019-01-28 00:00:00,800,8,-0.0094275689858782
AggReturn,2019-01-29 00:00:00,1200,12,-0.0037549151388048
AggReturn,2019-01-29 00:00:00,1200,16,0.0108874108476162
